"INE","ARTICULO_CAS","NOMBRE_CAS","ARTICULO_VAL","NOMBRE_VAL","CENSO","TELÉFONO","EMAIL","ALCALDE/SA","PARTIDO","WEB","PROVINCIA","COMARCA","DIRECCIÓN","CP"
"3109","","Rafal","","Rafal","4800","966752267","ayuntamiento@rafal.es","Manuel Pineda Cuenca","PSPV-PSOE","www.rafal.es","Alacant","El Baix Segura / Vega Baja","Plaza De España, 1","03369"
"3111","","Redován","","Redován","8183","966754025","admon@redovan.es","Manuela Ruiz Peral","PP","www.redovan.es","Alacant","El Baix Segura / Vega Baja","Plaza Ayuntamiento, 1","03370"
"3113","","Rojales","","Rojales","17451","966715001","alcaldia@rojales.es","Antonio Pérez García","PSPV-PSOE","www.rojales.es","Alacant","El Baix Segura / Vega Baja","Malecon De La Encanta, 1","03170"
"3118","","San Fulgencio","","San Fulgencio","9443","966794201","padron@ayto-sanfulgencio.es","José María Ballester Sansano","PP","www.ayto-sanfulgencio.es","Alacant","El Baix Segura / Vega Baja","Plaza De La Constitucion, 26","03177"
"3120","","San Miguel de Salinas","","San Miguel de Salinas","6798","965720001","secretaria@sanmigueldesalinas.es","Juan de Dios Fresneda Arquero","PSPV-PSOE","www.ayuntamientosanmiguel.com","Alacant","El Baix Segura / Vega Baja","19 De Abril, 36","03193"
"3133","","Torrevieja","","Torrevieja","89290","965710166","oficina.registro@torrevieja.es","Eduardo Jorge Dolón Sanchez","PP","www.torrevieja.com","Alacant","El Baix Segura / Vega Baja","Plaza de la Constitución, 1","03181"
"3902","","Pilar de la Horadada","","Pilar de la Horadada","23428","965352225","ayto@pilardelahoradada.org","José María Pérez Sánchez","PP","www.pilardelahoradada.org","Alacant","El Baix Segura / Vega Baja","Pl. Campoamor, 2","03190"
"3903","los ","Montesinos","los ","Montesinos","5477","966721087","registrogeneral@losmontesinos.org","Jose Manuel Butron Sanchez","PSPV-PSOE","www.losmontesinos.org","Alacant","El Baix Segura / Vega Baja","Plaza del Ayuntamiento, 1","03187"
"3904","","San Isidro","","San Isidro","2208","965485671","Informacion@sanisidro.es","Manuel Gil Gomez Cases","PSPV-PSOE","www.sanisidro.es","Alacant","El Baix Segura / Vega Baja","Plaza Mayor, 1","03349"
"3059","","Crevillent","","Crevillent","30191","965401526","ayuntamiento@crevillent.es","Lourdes Aznar Miralles","PP","www.crevillent.es","Alacant","El Baix Vinalopó","Major, 9","03330"
"3065","","Elche","","Elx","238293","966658030","alcaldia@elche.es","Pablo Ruz Villanueva","PP","www.elche.es","Alacant","El Baix Vinalopó","Plaça de Baix, 2","03202"
"3121","","Santa Pola","","Santa Pola","37816","965411100","alcaldia@santapola.es","María Loreto Serrano Pomares","PP","www.santapola.es","Alacant","El Baix Vinalopó","Plaza Constitucion, 1","03130"
"3003","","Agres","","Agres","619","965510001","secretaria@agres.es","María García Pascual","PP","www.agres.es","Alacant","El Comtat","Plaza España, 1","03837"
"3007","","Alcosser","","Alcosser","259","965531444","secretaria@alcocerdeplanes.es; ayuntalcocer@gmail.com","Maria Ballesteros Fajardo","PSPV-PSOE","www.alcocerdeplanes.es","Alacant","El Comtat","San Gil, 2","03841"
"3008","","Alcoleja","","Alcoleja","188","966509101","secretaria@alcoleja.es","Gema Baldó Crespo","PSPV-PSOE","www.alcoleja.es","Alacant","El Comtat","San Antonio, 1","03814"
"3010","","Alfafara","","Alfafara","419","965510082","alfafara@alfafara.es","Antonio Cloquell Tudela","GENT PER ALFAFARA ","www.alfafara.es","Alacant","El Comtat","Plaça Espanya, 1","03838"
"3016","","Almudaina","","Almudaina","110","965514267","almudaina@almudaina.es","Pau Navarro Giner","PP","www.almudaina.es","Alacant","El Comtat","Calle Les Moreres nº 9","03827"
"3017","l'","Alqueria d'Asnar","l'","Alqueria d'Asnar","511","965530624","alqueria@lalqueriadasnar.es","César Palmer Ais","Compromís","www.lalqueriadasnar.es","Alacant","El Comtat","San Lorenzo, 6","03829"
"3020","","Balones","","Balones","119","965511043","balones@balones.es","Juan Tomás Bou Pérez","PSPV-PSOE","www.balones.es","Alacant","El Comtat","Verge dels Dolors, 1","03812"
"3022","","Benasau","","Benasau","173","965513123","benasau@benasau.es","Raúl Dalmau","PP","www.benasau.es","Alacant","El Comtat","Mayor, 40","03814"
"3028","","Beniarrés","","Beniarrés","1089","965515059","beniarres@beniarres.es","Francisco Sellés Sanchis","PP","www.beniarres.org","Alacant","El Comtat","Rosa Escrig, 6","03850"
"3035","","Benilloba","","Benilloba","737","965517058","ayuntamiento@benilloba.es","José Ramón Martí Doménech","PSPV-PSOE","www.benilloba.es","Alacant","El Comtat","Plaça L'Esglesia, 1","03810"
"3036","","Benillup","","Benillup","105","965514261","benillup@benillup.es","Javier Navarro Adrián","PP","www.benillup.es","Alacant","El Comtat","Plaça l'Església, 1","03827"
"3038","","Benimarfull","","Benimarfull","422","965531301","benimarfull@benimarfull.es","Manuel Juan Belda Pérez","PP","www.benimarfull.es","Alacant","El Comtat","Plaça Major, 2","03827"
"3039","","Benimassot","","Benimassot","105","965518038","benimassot@benimassot.es","Ismael Molines García","PP","www.benimassot.es","Alacant","El Comtat","Plaça Major, 1","03812"
"3056","","Cocentaina","","Cocentaina","11309","965590051","ajuntament@cocentaina.org","Jordi Pla Valor","Compromís","www.cocentaina.es","Alacant","El Comtat","Plaça De La Vila, 1","03820"
"3060","","Quatretondeta","","Quatretondeta","136","965511094","quatretondeta@quatretondeta.es","Alejandro Montava Martínez","PSPV-PSOE","www.quatretondeta.es","Alacant","El Comtat","Trinquet, s/n","03811"
"3067","","Fageca","","Fageca","101","965518002","ayuntamiento@fageca.es","Ismael Vidal Soneira","PSPV-PSOE","www.facheca.es","Alacant","El Comtat","Salamanca, 2","03813"
"3068","","Famorca","","Famorca","45","965518018","famorca@famorca.es","Vicente Antonio Ruiz Rodriguez","PP","www.famorca.es","Alacant","El Comtat","Salamanca, 2","03813"
"3072","","Gaianes","","Gaianes","555","965515130","gaianes@gaianes.es","Agustin Martinez Torregrosa","Compromís","www.gaianes.es","Alacant","El Comtat","Plaza Mayor, 1","03840"
"3073","","Gorga","","Gorga","284","965511001","ayuntamiento@gorga.es","Blas Calbo Ferrándiz","PSPV-PSOE","www.gorga.es","Alacant","El Comtat","Plaça Major, 1","03811"
"3084","","Lorcha","l'","Orxa","587","966511064","lorcha@lorcha.es","Juan Pablo Pinar Mas","PP","www.lorcha.es","Alacant","El Comtat","Carrer Pou, 58","03860"
"3086","","Millena","","Millena","254","965511072","millena@millena.es","Cesar Francisco Garcia Bonet","PSPV-PSOE","www.millena.es","Alacant","El Comtat","Plaça l'Església, 1","03812"
"3092","","Muro de Alcoy","","Muro de Alcoy","9253","965530557","info@vilademuro.net","Vicent Molina Perona","Compromís","www.vilademuro.net","Alacant","El Comtat","Placeta Molina, 4","03830"
"3106","","Planes","","Planes","699","965514038","planes@diputacionalicante.es","Francisco Javier Sendra Mengual","PP","www.ajuntamentdeplanes.es","Alacant","El Comtat","Plaça Dalt Vila, 1","03828"
"3130","","Tollos","","Tollos","40","965518052","tollos@tollos.es","Félix Frau Seguío","PP","www.tollos.es","Alacant","El Comtat","C/ Nueva, 18","03813"
"3001","","Adsubia","l'","Atzúbia","608","965571358","ajuntament@atzubia.org","Maria Oltra Vidal","IAF - INICIATIVA PER L´ATZÚBIA I FORNA","www.atzuvia-forna.com","Alacant","La Marina Alta","Puente, 5","03786"
"3006","","Alcalalí","","Alcalalí","1397","966482024","alcalali@alcalali.es","Yolanda Molina Tolsma","Compromís","www.alcalali.es","Alacant","La Marina Alta","Mayor, 10","03728"
"3026","","Beniarbeig","","Beniarbeig","2353","965766018","ajuntament@beniarbeig.org","Juan José Mas Escrivà","PSPV-PSOE","www.beniarbeig.org","Alacant","La Marina Alta","Plaza 9 d'octubre, 1","03778"
"3029","","Benigembla","","Benigembla","537","965581067","aytobenigembla@gmail.com","Maria Trinidad Torres Moll","PSPV-PSOE","www.benigembla.es","Alacant","La Marina Alta","Pl. de L'Ajuntament, 5","03794"
"3030","","Benidoleig","","Benidoleig","1218","966404205","ajuntamentbenidoleig@aixa.com","Pedro Antonio Segui Caselles","PSPV-PSOE","www.benidoleig.es","Alacant","La Marina Alta","Plaza País Valencià, 5","03759"
"3040","","Benimeli","","Benimeli","455","965587123","benimeli@benimeli.es","Jose Lull Llopis","UNITS PER BENIMELI (UPB)","www.benimeli.es","Alacant","La Marina Alta","Plaza Mayor, 1","03769"
"3041","","Benissa","","Benissa","12279","965730058","secretaria@ajbenissa.es","Arturo Poquet Ribes","PP","www.ayto-benissa.es","Alacant","La Marina Alta","Plaza Del Portal, 1","03720"
"3042","","Benitachell","el ","Poble Nou de Benitatxell","4858","966493369","info@elpoblenoudebenitatxell.org","Miguel Ángel García Buigues","Més Benitatxell","www.benitatxell.com","Alacant","La Marina Alta","Mayor, 5","03726"
"3047","","Calp","","Calp","25854","965833600","alcaldia@ajcalp.es","Ana María Sala Fernández","SOMOS CALPE","www.ajcalp.es","Alacant","La Marina Alta","Av. De Ifach, 16","03710"
"3054","","Castell de Castells","","Castell de Castells","445","965518067","castelldecastells@castelldecastells.es","Vicente Tomás Estalrich","UPC - FEPAL","www.castelldecastells.es","Alacant","La Marina Alta","San Roque, 1","03793"
"3063","","Dénia","","Dénia","45622","965780100","oac@ayto-denia.es","Vicent Grimalt Boronat","PSPV-PSOE","www.denia.es","Alacant","La Marina Alta","Plaça Constitucio, 10","03700"
"3071","","Gata de Gorgos","","Gata de Gorgos","6515","965756089","secretaria@gatadegorgos.org","Josep Francesc Signes Costa","Compromís","www.gatadegorgos.org","Alacant","La Marina Alta","C/. Duquessa d'Almodóvar, 3","03740"
"3081","","Xaló","","Xaló","2964","966480101","info@xalo.org","Joan Miquel Garces Font","Compromís","www.xalo.org","Alacant","La Marina Alta","Carrer Iglésia, 27","03727"
"3082","","Jávea","","Xàbia","29760","965790500","secretaria@ajxabia.org","Rosa Vicenta Cardona Vives","PP","www.ajxabia.com","Alacant","La Marina Alta","Plaza de La Iglesia, 4","03730"
"3085","","Llíber","","Llíber","946","965730509","secretaria@lliber.org","José Juan Reus Reus","PP","www.lliber.org","Alacant","La Marina Alta","Plaza Mayor, 1","03729"
"3091","","Murla","","Murla","575","965581001","ayuntamiento@murla.es","Juan Fernando Giner Riera","PP","www.murla.es","Alacant","La Marina Alta","Plaza Mayor, 19","03792"
"3095","","Ondara","","Ondara","7308","965766000","secretaria@ondara.org; ajuntament@ondara.org","José Ramiro Pastor","PSPV-PSOE","www.ondara.org","Alacant","La Marina Alta","Plaça Convent, 2","03760"
"3097","","Orba","","Orba","2379","965583001","alcaldia@orba.es","Juan Ignacio Cervera Arbona","Compromís","www.orba.es","Alacant","La Marina Alta","C/ Bonaire, 12","03790"
"3100","","Parcent","","Parcent","1003","966405301","ajuntament@parcent.es","Joan Ripoll Mora","JUNTS X PARCENT","www.parcent.es","Alacant","La Marina Alta","Carrer de l'Ajuntament, 11","03792"
"3101","","Pedreguer","","Pedreguer","8558","965760669","ajuntament@pedreguer.es","Sergi Ferrús Peris","Compromís","www.pedreguer.es","Alacant","La Marina Alta","Ayuntamiento, 7","03750"
"3102","","Pego","","Pego","10485","965570011","alcaldia@pego.org","Enrique Moll Briones","PSPV-PSOE","www.pego.es","Alacant","La Marina Alta","Plaça Ajuntament, 1","03780"
"3110","el ","Ràfol d'Almúnia","el ","Ràfol d'Almúnia","721","965587168","ajuntament@rafol.org","Estefania Rovira Miralles","Compromís","www.elrafoldalmunia.es","Alacant","La Marina Alta","Major, 6","03769"
"3115","","Sagra","","Sagra","442","965587008","ajuntamentsagra@gmail.com","María Teresa Roselló Puig","GENT PEL CANVI","www.sagra.es","Alacant","La Marina Alta","Plaça Paìs Valencià, 10","03795"
"3117","","Sanet y Negrals","","Sanet y Negrals","737","966408208","info@sanetynegrals.org","Joaquín Gavilá Mengual","Independents per Sanet i els Negrals","www.sanetynegrals.es","Alacant","La Marina Alta","Av. Ayuntamiento, 18","03769"
"3125","","Senija","","Senija","670","965731374","ADMINISTRACION@SENIJA.ES","Pepa Argudo Ferrer","SOM SENIJA","www.senija.es","Alacant","La Marina Alta","Plaza del Ayuntamiento, 3","03729"
"3128","","Teulada","","Teulada","12515","965740158","alcaldia@teuladamoraira.org","Raúl Llobell Signes","PP","www.teulada-moraira.es","Alacant","La Marina Alta","Av. Santa Catalina, 2","03725"
"3131","","Tormos","","Tormos","339","965587569","tormos@tormos.es","Gerónimo Bermúdez Lara","PP","www.tormos.es","Alacant","La Marina Alta","Plaza Ayuntamiento, 2","03795"
"3134","la ","Vall d'Alcalà","la ","Vall d'Alcalà","174","965514300","valldealcala@hotmail.com","Pablo Martínez Sarch","PSPV-PSOE","www.lavalldalcala.es","Alacant","La Marina Alta","Plaza Obispo Vilaplana, 3","03788"
"3135","la ","Vall d'Ebo","la ","Vall d'Ebo","230","965571413","lavallebo@yahoo.es","Sara Moll Montaner","Compromís","www.lavalldebo.org","Alacant","La Marina Alta","Plaza Mayor, 2","03789"
"3136","la ","Vall de Gallinera","la ","Vall de Gallinera","581","966406553","ajuntament@valldegallinera.es","Ignasi Mora Bataller","Gent Per la Vall (Agrupaació Electors)","www.lagallinera.es","Alacant","La Marina Alta","Carretera, 35","03787"
"3137","la ","Vall de Laguar","la ","Vall de Laguar","873","965583301","ajuntament@lavalldelaguar.es","Juan Carlos Mengual Mengual","Compromís","www.lavalldelaguar.es","Alacant","La Marina Alta","Mayor, 11","03791"
"3138","el ","Verger","el ","Verger","5101","965750125","alcaldia@elverger.es","Josep Basili Salort Bertomeu","Compromís","www.elverger.es","Alacant","La Marina Alta","C/ Cervantes, 10","03770"
"3901","els ","Poblets","els ","Poblets","2763","966474399","ajuntament@elspoblets.es","Jose Luis Mas Sola","Compromís","www.elspoblets.es","Alacant","La Marina Alta","Avinguda Jaume I, 7","03779"
"3011","l'","Alfàs del Pi","l'","Alfàs del Pi","20518","965888265","alcaldia@lalfas.com","Vicente Arques Cortés","PSPV-PSOE","www.lalfas.es","Alacant","La Marina Baixa","Federico Garcia Lorca, 11","03580"
"3018","","Altea","","Altea","23820","965841300","gabinet.alcaldia@altea.es","Diego Zaragozi Llorens","Compromís","www.altea.es","Alacant","La Marina Baixa","Plaza Jose Maria Planelles, 1","03590"
"3027","","Beniardá","","Beniardá","252","965885598","beniarda@beniarda.es","Rafaela Llorens Cepas","PSPV-PSOE","www.beniarda.es","Alacant","La Marina Baixa","Plaza Constitucion, 1","03517"
"3031","","Benidorm","","Benidorm","72342","965855500","alcaldia@benidorm.org","Antonio Pérez Pérez","PP","portal.benidorm.org","Alacant","La Marina Baixa","Plaza de SS.MM. Los reyes de España, s/n","03501"
"3033","","Benifato","","Benifato","140","965885012","benifato@benifato.es","David Blanes Fracés","PP","www.benifato.es","Alacant","La Marina Baixa","carrer l'escola, 17","03517"
"3037","","Benimantell","","Benimantell","534","965885220","benimantell@benimantell.es","José Manuel Andreu Rocamora","PSPV-PSOE","www.benimantell.es","Alacant","La Marina Baixa","Plaza Mayor, 1","03516"
"3045","","Bolulla","","Bolulla","440","965881432","aytobolulla@gmail.com","Adrián Martínez Calafat","PP","www.bolulla.es","Alacant","La Marina Baixa","Avd. Constitució, 12","03518"
"3048","","Callosa d'en Sarrià","","Callosa d'en Sarrià","7708","965880050","alcaldiacallosa@gmail.com","Andrés Molina Ferrándiz","PP","www.callosa.es","Alacant","La Marina Baixa","Plaza De España, 1","03510"
"3057","","Confrides","","Confrides","297","965885804","confrides@confrides.es","Rubén Picó","PP","","Alacant","La Marina Baixa","Plaza del Nogal, 1","03517"
"3069","","Finestrat","","Finestrat","8836","965878100","alcaldia@finestrat.org","Juan Francisco Pérez Llorca","PP","www.finestrat.es","Alacant","La Marina Baixa","Plaça de l'Ajuntament, 1","03509"
"3075","el ","Castell de Guadalest","el ","Castell de Guadalest","274","965885095","secretariaintervencion@guadalest.es","Joan Gadea Pons","PP","www.guadalest.es","Alacant","La Marina Baixa","Plaça Sant Gregori, 1","03517"
"3094","la ","Nucia","la ","Nucia","18970","965870700","info@lanucia.es","Bernabé Cano García","PP","www.lanucia.es","Alacant","La Marina Baixa","Plaça Major, 1","03530"
"3098","","Orxeta","","Orxeta","840","966855080","ajuntament@orxeta.es","Jaime Miguel Lloret Llorca","PP","www.orxeta.org","Alacant","La Marina Baixa","Plaza Dr. Ferrandiz, 1","03579"
"3107","","Polop","","Polop","5339","965870240","ayto@polop.org","José Luis Susmozas Ferris","PP","www.polop.org","Alacant","La Marina Baixa","Avda.Sagi-Barba, 34","03520"
"3112","","Relleu","","Relleu","1248","966856041","administracion@relleu.es","Lino Antonio Pascual Carbonell","PP","www.relleu.org","Alacant","La Marina Baixa","Plaza de la Constitución, 1","03578"
"3124","","Sella","","Sella","607","965879001","sella@sella.es","María del Milagro Llinares Fenollar","Agrupació Electors Sella (AES)","www.sella.es","Alacant","La Marina Baixa","Plaza Mayor, 16","03579"
"3127","","Tàrbena","","Tàrbena","630","965884344","ajuntament@tarbena.es","Francisco Javier Molines Sifre","IPT-FEPAL","www.taberna.es","Alacant","La Marina Baixa","San Miguel, 1","03518"
"3139","","Villajoyosa","la ","Vila Joiosa","36093","966851001","alcaldia@villajoyosa.es","Marcos Enrique Zaragoza Mayor","PP","www.villajoyosa.com","Alacant","La Marina Baixa","Major, 14","03570"
"3013","","Algueña","","Algueña","1395","965476001","notifica@alguenya.es","Sergio Ramirez Ruiz","PSPV-PSOE","www.alguenya.es","Alacant","El Vinalopó Mitjà","Plaza Juan Carlos I, 3","03668"
"3019","","Aspe","","Aspe","21473","966919900","secretaria@aspe.es","Antonio Puerto García","EUPV: ADELANTE","www.aspe.es","Alacant","El Vinalopó Mitjà","Pl. Mayor, 1","03680"
"3066","","Elda","","Elda","53034","965380402","alcaldia@elda.es","Rubén Alfaro Bernabé","PSPV-PSOE","www.elda.es","Alacant","El Vinalopó Mitjà","Plaza Constitucion, 1","03600"
"3077","","Hondón de las Nieves","el ","Fondó de les Neus","2698","965480201","ayuntamiento@fondoneus.es","Carmen Selles Prieto","PP","www.ayto-hondondelasnieves.es","Alacant","El Vinalopó Mitjà","Plaza De La Villa, 1","03688"
"3078","","Hondón de los Frailes","","Hondón de los Frailes","1311","965482001","info@hondondelosfrailes.es","Eleuterio Jover García","PP","www.hondondelosfrailes.es","Alacant","El Vinalopó Mitjà","Juan Carlos I, 21","03689"
"3088","","Monforte del Cid","","Monforte del Cid","8777","965620025","info@monfortedelcid.es","Juan Jose Hernandez Rico","EUPV","www.monfortedelcid.es","Alacant","El Vinalopó Mitjà","Plaza De España, 1","03670"
"3089","","Monóvar","","Monòver","12542","966960311","ayuntamiento@monovar.es","Lorenzo Amat Poveda","PSPV-PSOE","www.monovar.es","Alacant","El Vinalopó Mitjà","Plaça de la Sala, 1","03640"
